Strategy,Product,Internal Limit in coin,Product,Currency,Price,Instrument,Coin,Exchange position limit notional ( in BTC),Portfolio Limit (in USD), Limit Per Individual Product (in USD)
S4,ZIL,366020,ICP,USD,4.95,ZIL_exchange,ZIL,1.56,"  1,600,000 ","75,000"
S4,BTC,2.835,SRM,USD,0.717,BTC_exchange,BTC,0.52,,
S4,USDT,139315.34,ICX,USD,0.2142,USDT_exchange,USDT,0.21,,
S4,BUSD,107574.305,XLM,USD,0.1129,BUSD_exchange,BUSD,0.52,,
S4,XRP,87968.5,BTT,USD,0.002777,XRP_exchange,XRP,1.04,,
S4,THETA,8973,KAVA,USD,1.378,THETA_exchange,THETA,0.52,,
S4,RNDR,27288,REEF,USD,0.0061,RNDR_exchange,RNDR,0.52,,
S4,REEF,1264168,YFI,USD,7570,REEF_exchange,REEF,0.52,,
S4,QUICK,137.5,BTCST,USD,8.72,QUICK_exchange,QUICK,0.52,,
S4,LINK,2799.5,POND,USD,0.00952,LINK_exchange,LINK,7.82,,
S4,LINA,1382752,PERP,USD,0.515,LINA_exchange,LINA,0.52,,
S4,GALA,431126,PNT,USD,0.2119,GALA_exchange,GALA,19.29,,
S4,DOGE,437672.5,MLN,USD,19.56,DOGE_exchange,DOGE,0.52,,
S4,COMP,162.5,DF,USD,0.0326,COMP_exchange,COMP,0.52,,
S4,CAKE,2542.5,LSK,USD,0.909,CAKE_exchange,CAKE,0.52,,
S4,BOND,2512,DREP,USD,0.387,BOND_exchange,BOND,0.52,,
S4,BLZ,86689.5,TUSD,USD,0.9999,BLZ_exchange,BLZ,0.52,,
S4,BAKE,61669.5,T,USD,0.0277,BAKE_exchange,BAKE,0.52,,
S4,AVAX,1421,ASTR,USD,0.0354,AVAX_exchange,AVAX,0.52,,
S4,AUDIO,59584.5,OOKI,USD,0.00407,AUDIO_exchange,AUDIO,1.56,,
S4,ALGO,43752,AGLD,USD,0.305,ALGO_exchange,ALGO,1.56,,
S4,ADA,77435.5,WBTC,USD,19224.63227,ADA_exchange,ADA,0.52,,
S8,ZEC,193,LTC,USD,51.37,ZEC_exchange,ZEC,0.52,,
S8,BTC,1.2,AXS,USD,10.87,XTZ_exchange,XTZ,2.09,,
S8,USDT,91589.225,C98,USD,0.323,SXP_exchange,SXP,4.69,,
S8,XTZ,5667.5,RUNE,USD,1.455,SOL_exchange,SOL,0.52,,
S8,BUSD,58843.26,AR,USD,9.63,SKL_exchange,SKL,1.04,,
S8,SXP,23075.5,DODO,USD,0.1176,OMG_exchange,OMG,0.52,,
S8,SOL,1156.5,MANA,USD,0.6261,INJ_exchange,INJ,0.52,,
S8,SKL,218549.5,STMX,USD,0.006508,HOT_exchange,HOT,0.52,,
S8,OMG,3463.5,WIN,USD,0.0001091,EPX_exchange,EPX,0.52,,
S8,INJ,6031.5,BADGER,USD,3.32,EGLD_exchange,EGLD,1.04,,
S8,HOT,4559918,TKO,USD,0.228,DOT_exchange,DOT,0.52,,
S8,EPX,11459801.5,VTHO,USD,0.0013,C98_exchange,C98,0.16,,
S8,EGLD,253.5,TCT,USD,0.00392,BURGER_exchange,BURGER,0.52,,
S8,DOT,4336,DNT,USD,0.0314,BSW_exchange,BSW,0.52,,
S8,C98,38634,HEGIC,USD,0.02120212,YGG_exchange,YGG,1.04,,
S8,BURGER,11345,PUNDIX,USD,0.464,SFP_exchange,SFP,0.52,,
S8,BSW,27850,ELF,USD,0.1247,LPT_exchange,LPT,1.04,,
S1,YGG,21738,ASR,USD,3.031,JASMY_exchange,JASMY,0.26,,
S1,USDT,70516.56,JASMY,USD,0.0053,HIVE_exchange,HIVE,0.52,,
S1,BUSD,84296.495,VOXEL,USD,0.2139,ETH_exchange,ETH,0.05,,
S1,SFP,25304,CVX,USD,5.436,ETC_exchange,ETC,0.52,,
S1,BTC,1.655,RAD,USD,1.901,XMR_exchange,XMR,0.52,,
S1,LPT,1345,NEBL,USD,3,WOO_exchange,WOO,0.52,,
S1,JASMY,3365554,ETH,USD,1301.21,WAXP_exchange,WAXP,0.52,,
S1,HIVE,26667.5,ALGO,USD,0.317,VIB_exchange,VIB,0.52,,
S1,ETH,65.5,ALICE,USD,1.525,STG_exchange,STG,0.23,,
S1,ETC,1517.5,QTUM,USD,2.632,SPELL_exchange,SPELL,1.56,,
S11,XMR,123,ALPHA,USD,0.1082,SNM_exchange,SNM,0.52,,
S11,BTC,0.895,CVC,USD,0.1149,PHB_exchange,PHB,0.52,,
S11,USDT,81770.505,LIT,USD,0.662,NEBL_exchange,NEBL,0.52,,
S11,BUSD,63858.775,SFP,USD,0.3532,LUNA_exchange,LUNA,0.52,,
S11,WOO,20401,ARPA,USD,0.03144,KNC_exchange,KNC,25.03,,
S11,WAXP,109823,STPT,USD,0.03995,KEY_exchange,KEY,0.52,,
S11,VIB,119962.5,ERN,USD,3.125,KDA_exchange,KDA,0.52,,
S11,STG,24167,BURGER,USD,0.784,GTC_exchange,GTC,0.16,,
S11,SPELL,6160606.5,MDT,USD,0.02719,FLM_exchange,FLM,0.52,,
S11,SNM,19020,GHST,USD,1.143,DEXE_exchange,DEXE,1.04,,
S11,PHB,7821.5,WTC,USD,0.2795,COTI_exchange,COTI,1.56,,
S11,NEBL,1543,DUSK,USD,0.1164,CLV_exchange,CLV,0.52,,
S11,LUNA,7132.5,DCR,USD,24.7,CHR_exchange,CHR,0.52,,
S11,KNC,8417,JUV,USD,3.92,API3_exchange,API3,0.52,,
S11,KEY,615367,ANC,USD,0.08846,XLM_exchange,XLM,0.52,,
S11,KDA,5932,FIDA,USD,0.3798,,,,,
S11,GTC,4980.5,JOE,USD,0.198,,,,,
S11,FLM,56332,ACA,USD,0.1646,,,,,
S11,DEXE,2208.5,GLM,USD,0.25392539,,,,,
S11,COTI,73126.5,EOS,USD,1.0158,,,,,
S11,CLV,109648.5,LUNC,USD,0.00027467,,,,,
S11,CHR,63457.5,DENT,USD,0.000846,,,,,
S11,API3,2874,THETA,USD,0.992,,,,,
S9,XLM,110886.5,BAT,USD,0.29,,,,,
S9,BTC,1.235,GTC,USD,1.605,,,,,
S9,USDT,92460.15,OCEAN,USD,0.1459,,,,,
S9,BUSD,53830.6,WAVES,USD,3.2899,,,,,
,,,FXS,USD,5.052,,,,,
,,,VITE,USD,0.0281,,,,,
,,,XVS,USD,4.53,,,,,
,,,BEAM,USD,0.1603,,,,,
,,,FIRO,USD,2.21,,,,,
,,,IRIS,USD,0.01651,,,,,
,,,TORN,USD,5.08,,,,,
,,,QUICK,USD,57.7,,,,,
,,,POLY,USD,0.2628,,,,,
,,,LAZIO,USD,4.5609,,,,,
,,,GAL,USD,2.415,,,,,
,,,RARE,USD,0.146,,,,,
,,,ANY,USD,12.3,,,,,
,,,NEXO,USD,0.865,,,,,
,,,VIB,USD,0.05470547,,,,,
,,,BCH,USD,107.77,,,,,
,,,ATOM,USD,11.665,,,,,
,,,AUDIO,USD,0.179,,,,,
,,,REN,USD,0.1112,,,,,
,,,ANKR,USD,0.0269,,,,,
,,,DGB,USD,0.0086,,,,,
,,,LRC,USD,0.2555,,,,,
,,,SKL,USD,0.0336,,,,,
,,,NU,USD,0.5436,,,,,
,,,LPT,USD,8.41,,,,,
,,,FORTH,USD,4.06,,,,,
,,,OM,USD,0.0394,,,,,
,,,RAMP,USD,0.0524,,,,,
,,,NULS,USD,0.1903,,,,,
,,,WAN,USD,0.1726,,,,,
,,,MBL,USD,0.0032,,,,,
,,,RIF,USD,0.0526,,,,,
,,,FIS,USD,0.3178,,,,,
,,,APE,USD,4.5317,,,,,
,,,ACH,USD,0.0137,,,,,
,,,ILV,USD,55.2,,,,,
,,,SCRT,USD,0.905,,,,,
,,,LOOM,USD,0.046744674,,,,,
,,,USDT,USD,1,,,,,
,,,FIL,USD,5.05,,,,,
,,,DASH,USD,40.1,,,,,
,,,SXP,USD,0.3083,,,,,
,,,BAND,USD,1.0565,,,,,
,,,GALA,USD,0.0366,,,,,
,,,NKN,USD,0.0814,,,,,
,,,UNFI,USD,5.362,,,,,
,,,CTSI,USD,0.1301,,,,,
,,,MBOX,USD,0.571,,,,,
,,,TVK,USD,0.0329,,,,,
,,,HARD,USD,0.1972,,,,,
,,,FARM,USD,34.9,,,,,
,,,IQ,USD,0.004540454,,,,,
,,,PSG,USD,6.63,,,,,
,,,ACM,USD,3.088,,,,,
,,,PAXG,USD,1637.85,,,,,
,,,YGG,USD,0.304,,,,,
,,,BNX,USD,154.8,,,,,
,,,SANTOS,USD,12.964,,,,,
,,,BETA,USD,0.08937,,,,,
,,,EPX,USD,0.000479,,,,,
,,,STG,USD,0.4701,,,,,
,,,SHIB,USD,0.00001009,,,,,
,,,AAVE,USD,72.8,,,,,
,,,ONE,USD,0.0176,,,,,
,,,AKRO,USD,0.00343,,,,,
,,,CTK,USD,0.823,,,,,
,,,LINA,USD,0.00705,,,,,
,,,SC,USD,0.00324,,,,,
,,,ZRX,USD,0.2436,,,,,
,,,TWT,USD,0.98,,,,,
,,,ROSE,USD,0.0543,,,,,
,,,IDEX,USD,0.05463,,,,,
,,,XVG,USD,0.00304,,,,,
,,,AVA,USD,0.671,,,,,
,,,MITH,USD,0.01878,,,,,
,,,PROM,USD,5.440544,,,,,
,,,REP,USD,6.57,,,,,
,,,VAI,USD,0.9672147002,,,,,
,,,GMT,USD,0.5792,,,,,
,,,OP,USD,0.718,,,,,
,,,MC,USD,0.622,,,,,
,,,CHESS,USD,0.237,,,,,
,,,GAS,USD,2.0862086,,,,,
,,,DOGE,USD,0.0586,,,,,
,,,NEAR,USD,2.998,,,,,
,,,GRT,USD,0.0857,,,,,
,,,UNI,USD,6.2368,,,,,
,,,BLZ,USD,0.0754,,,,,
,,,HOT,USD,0.001962,,,,,
,,,ONT,USD,0.2052,,,,,
,,,XMR,USD,140.5,,,,,
,,,STX,USD,0.302,,,,,
,,,DATA,USD,0.02916,,,,,
,,,FUN,USD,0.0073,,,,,
,,,SUN,USD,0.00854,,,,,
,,,MDX,USD,0.1876,,,,,
,,,HIVE,USD,0.4825,,,,,
,,,MFT,USD,0.004718,,,,,
,,,ARDR,USD,0.093,,,,,
,,,USDC,USD,0.9999,,,,,
,,,ENS,USD,19.33,,,,,
,,,FLUX,USD,0.762,,,,,
,,,PORTO,USD,4.1987,,,,,
,,,ALPINE,USD,2.982,,,,,
,,,LDO,USD,1.3,,,,,
,,,C,USD,50.35,,,,,
,,,XRP,USD,0.297,,,,,
,,,MATIC,USD,0.7874,,,,,
,,,EGLD,USD,53.586,,,,,
,,,TLM,USD,0.0206,,,,,
,,,BEL,USD,0.521,,,,,
,,,HNT,USD,4.3426,,,,,
,,,OGN,USD,0.1372,,,,,
,,,XEM,USD,0.038,,,,,
,,,FET,USD,0.0805,,,,,
,,,ADX,USD,0.1509,,,,,
,,,TRU,USD,0.0454,,,,,
,,,SYS,USD,0.139,,,,,
,,,DEGO,USD,1.67,,,,,
,,,ANT,USD,1.537,,,,,
,,,JST,USD,0.02829,,,,,
,,,BTG,USD,18.05,,,,,
,,,AERGO,USD,0.13461346,,,,,
,,,DAR,USD,0.1958,,,,,
,,,RNDR,USD,0.4,,,,,
,,,POWR,USD,0.1804,,,,,
,,,AMP,USD,0.0081,,,,,
,,,REI,USD,0.0292,,,,,
,,,BNB,USD,269.7064,,,,,
,,,ETC,USD,23.3938,,,,,
,,,CRV,USD,0.806,,,,,
,,,SUSHI,USD,1.384,,,,,
,,,BAL,USD,4.923,,,,,
,,,FLM,USD,0.1031,,,,,
,,,MTL,USD,0.961,,,,,
,,,TRB,USD,14.91,,,,,
,,,SUPER,USD,0.1205,,,,,
,,,EPS,USD,0.1679,,,,,
,,,COCOS,USD,0.567,,,,,
,,,AUTO,USD,220.7,,,,,
,,,COS,USD,0.00548,,,,,
,,,DEXE,USD,2.733,,,,,
,,,AION,USD,0.03344,,,,,
,,,FRONT,USD,0.2266,,,,,
,,,BNT,USD,0.418,,,,,
,,,NANO,USD,2.124,,,,,
,,,WOO,USD,0.1521,,,,,
,,,SPELL,USD,0.0009,,,,,
,,,BICO,USD,0.367,,,,,
,,,MOB,USD,0.84,,,,,
,,,SSV,USD,11.021102,,,,,
,,,FTM,USD,0.2017,,,,,
,,,XTZ,USD,1.3657,,,,,
,,,IOTA,USD,0.2495,,,,,
,,,FTT,USD,23.47,,,,,
,,,CHR,USD,0.1395,,,,,
,,,KLAY,USD,0.1445,,,,,
,,,RSR,USD,0.00608,,,,,
,,,ZEN,USD,12.318,,,,,
,,,NBS,USD,0.00239,,,,,
,,,POLS,USD,0.44,,,,,
,,,REQ,USD,0.0937,,,,,
,,,GTO,USD,0.01748,,,,,
,,,DIA,USD,0.392,,,,,
,,,UFT,USD,0.30693069,,,,,
,,,PERL,USD,0.02037,,,,,
,,,KMD,USD,0.2333,,,,,
,,,DAI,USD,1.0002,,,,,
,,,API3,USD,1.525,,,,,
,,,LOKA,USD,0.4763,,,,,
,,,MULTI,USD,3.61,,,,,
,,,XNO,USD,0.742,,,,,
,,,ARK,USD,0.360036,,,,,
,,,AVAX,USD,15.74,,,,,
,,,TRX,USD,0.0638,,,,,
,,,IOST,USD,0.01123,,,,,
,,,BUSD,USD,1.0001,,,,,
,,,CELO,USD,0.759,,,,,
,,,KEEP,USD,0.6251,,,,,
,,,RLC,USD,1.074,,,,,
,,,ZEC,USD,49.93,,,,,
,,,FOR,USD,0.01711,,,,,
,,,CFX,USD,0.0353,,,,,
,,,CLV,USD,0.09795,,,,,
,,,TRIBE,USD,0.2164,,,,,
,,,UTK,USD,0.1191,,,,,
,,,INJ,USD,1.774,,,,,
,,,WNXM,USD,15.81,,,,,
,,,CREAM,USD,12.90129,,,,,
,,,PHB,USD,0.005869413,,,,,
,,,PEOPLE,USD,0.01965,,,,,
,,,PYR,USD,4.01,,,,,
,,,NBT,USD,0.00611,,,,,
,,,CITY,USD,5.65,,,,,
,,,AMB,USD,0.013051305,,,,,
,,,LINK,USD,6.8927,,,,,
,,,CELR,USD,0.014,,,,,
,,,CHZ,USD,0.1811,,,,,
,,,SAND,USD,0.7564,,,,,
,,,ATA,USD,0.1374,,,,,
,,,DYDX,USD,1.52,,,,,
,,,MASK,USD,1.044,,,,,
,,,STORJ,USD,0.4065,,,,,
,,,SLP,USD,0.0033,,,,,
,,,WAXP,USD,0.0794,,,,,
,,,QNT,USD,166.7,,,,,
,,,WING,USD,7.58,,,,,
,,,BOND,USD,4.57,,,,,
,,,AUCTION,USD,5.7,,,,,
,,,DOCK,USD,0.01904,,,,,
,,,CTXC,USD,0.0971,,,,,
,,,NMR,USD,14.11,,,,,
,,,OG,USD,3.819,,,,,
,,,USTC,USD,0.04704144367,,,,,
,,,VGX,USD,0.415,,,,,
,,,BTTC,USD,0.00000081,,,,,
,,,KDA,USD,1.279,,,,,
,,,PROS,USD,0.64746474,,,,,
,,,SOL,USD,30.1919,,,,,
,,,OMG,USD,1.5557,,,,,
,,,HBAR,USD,0.0611,,,,,
,,,VET,USD,0.0228,,,,,
,,,BTS,USD,0.01002,,,,,
,,,IOTX,USD,0.02618,,,,,
,,,RAY,USD,0.478,,,,,
,,,YFII,USD,986.8,,,,,
,,,KEY,USD,0.00467,,,,,
,,,MINA,USD,0.527,,,,,
,,,UMA,USD,2.172,,,,,
,,,VIDT,USD,0.2375,,,,,
,,,KP3R,USD,91.71,,,,,
,,,CVP,USD,0.3048,,,,,
,,,GNO,USD,110,,,,,
,,,ONG,USD,0.3112,,,,,
,,,SUSD,USD,0.996,,,,,
,,,GXS,USD,1.7923,,,,,
,,,QI,USD,0.00837,,,,,
,,,PLA,USD,0.293,,,,,
,,,ALCX,USD,19.3,,,,,
,,,LEVER,USD,0.001501,,,,,
,,,NEO,USD,7.729,,,,,
,,,DOT,USD,6.06,,,,,
,,,COTI,USD,0.0968,,,,,
,,,SNX,USD,2.08,,,,,
,,,BAKE,USD,0.2178,,,,,
,,,ENJ,USD,0.4186,,,,,
,,,MKR,USD,905.2578,,,,,
,,,TOMO,USD,0.3863,,,,,
,,,OXT,USD,0.0967,,,,,
,,,WRX,USD,0.1959,,,,,
,,,MIR,USD,0.20361,,,,,
,,,CAKE,USD,4.409,,,,,
,,,FLOW,USD,1.48,,,,,
,,,FIO,USD,0.0404,,,,,
,,,ORN,USD,1.031,,,,,
,,,ATM,USD,3.46,,,,,
,,,BIFI,USD,311.1,,,,,
,,,IDRT,USD,0.000064821417,,,,,
,,,LUNA,USD,2.7506,,,,,
,,,USDP,USD,0.9997,,,,,
,,,BSW,USD,0.2355,,,,,
,,,STEEM,USD,0.2245,,,,,
,,,SNM,USD,0.24672467,,,,,
,,,ADA,USD,0.3659,,,,,
,,,1INCH,USD,0.555,,,,,
,,,KSM,USD,39.7,,,,,
,,,XEC,USD,0.00003681,,,,,
,,,COMP,USD,54.11,,,,,
,,,KNC,USD,0.93,,,,,
,,,RVN,USD,0.0307,,,,,
,,,ZIL,USD,0.03,,,,,
,,,TROY,USD,0.003545,,,,,
,,,CKB,USD,0.00369,,,,,
,,,PHA,USD,0.1905,,,,,
,,,TFUEL,USD,0.0478,,,,,
,,,ALPACA,USD,0.2748,,,,,
,,,LTO,USD,0.072,,,,,
,,,BAR,USD,4.48,,,,,
,,,STRAX,USD,0.546,,,,,
,,,BIDR,USD,0.000064724919,,,,,
,,,IMX,USD,0.634,,,,,
,,,HIGH,USD,1.401,,,,,
,,,MOVR,USD,9.93,,,,,
,,,GLMR,USD,0.4308,,,,,
,,,BETH,USD,1272.517239,,,,,
,,,BTC,USD,19176.69,,,,,
